pid,vid,numid,straat,postcode,huisnummer,huisletter,huisnummertoevoeging,oppervlakte,woningequivalent,woning_type,labelscore_voorlopig,labelscore_definitief,energieklasse,gemeentecode,gemeentenaam,buurtcode,buurtnaam,wijkcode,wijknaam,provinciecode,provincienaam,point,pand_gas_ean_aansluitingen,group_id_2020,p6_gas_aansluitingen_2020,p6_gasm3_2020,p6_kwh_2020,p6_totaal_pandoppervlak_m2,pand_bouwjaar,pand_gas_aansluitingen,gebruiksdoelen
0363100012181960,0363010000785105,0363200000081085,De Ruijterkade,1011AB,105,,H,348,3,Niet wonen,0,0,,GM0363,Amsterdam,BU03630400,Oosterdokseiland,WK036304,Nieuwmarkt/Lastage,PV27,Noord-Holland       ,POINT (4.9052328744478375 52.37780474588784),6,0,0,0,14940,6408,1884,6,{bijeenkomstfunctie}
0363100012181960,0363010000784610,0363200000081087,De Ruijterkade,1011AB,105,,2,72,1,Flat/appartement,7,0,,GM0363,Amsterdam,BU03630400,Oosterdokseiland,WK036304,Nieuwmarkt/Lastage,PV27,Noord-Holland       ,POINT (4.9052328744478375 52.37780474588784),6,0,0,0,14940,6408,1884,6,{woonfunctie}
0363100012181960,0363010000964973,0363200000081086,De Ruijterkade,1011AB,105,,1,174,1,Niet wonen,0,0,,GM0363,Amsterdam,BU03630400,Oosterdokseiland,WK036304,Nieuwmarkt/Lastage,PV27,Noord-Holland       ,POINT (4.9052328744478375 52.37780474588784),6,0,0,0,14940,6408,1884,6,{kantoorfunctie}
0363100012181960,0363010000977861,0363200000081088,De Ruijterkade,1011AB,105,,3,84,1,Flat/appartement,7,0,,GM0363,Amsterdam,BU03630400,Oosterdokseiland,WK036304,Nieuwmarkt/Lastage,PV27,Noord-Holland       ,POINT (4.9052328744478375 52.37780474588784),6,0,0,0,14940,6408,1884,6,{woonfunctie}
0363100012181960,0363010000618793,0363200000081090,De Ruijterkade,1011AB,106,,2,82,1,Flat/appartement,7,0,,GM0363,Amsterdam,BU03630400,Oosterdokseiland,WK036304,Nieuwmarkt/Lastage,PV27,Noord-Holland       ,POINT (4.9052328744478375 52.37780474588784),6,0,0,0,14940,6408,1884,6,{woonfunctie}
0363100012181960,0363010012064067,0363200012064203,De Ruijterkade,1011AB,106,,1,1,0,Niet wonen,0,0,,GM0363,Amsterdam,BU03630400,Oosterdokseiland,WK036304,Nieuwmarkt/Lastage,PV27,Noord-Holland       ,POINT (4.9052328744478375 52.37780474588784),6,0,0,0,14940,6408,1884,6,{kantoorfunctie}
0363100012181960,0363010000618799,0363200000081091,De Ruijterkade,1011AB,106,,3,60,1,Flat/appartement,7,0,,GM0363,Amsterdam,BU03630400,Oosterdokseiland,WK036304,Nieuwmarkt/Lastage,PV27,Noord-Holland       ,POINT (4.9052328744478375 52.37780474588784),6,0,0,0,14940,6408,1884,6,{woonfunctie}
0363100012181958,0363010000618800,0363200000414309,De Ruijterkade,1011AB,107,,H,280,2,Niet wonen,0,0,,GM0363,Amsterdam,BU03630400,Oosterdokseiland,WK036304,Nieuwmarkt/Lastage,PV27,Noord-Holland       ,POINT (4.90541865504259 52.37775355302933),1,0,0,0,14940,6408,1005,1,{overige gebruiksfunctie}
0363100012181958,0363010000977860,0363200000081092,De Ruijterkade,1011AB,107,,,1774,14,Niet wonen,0,0,D,GM0363,Amsterdam,BU03630400,Oosterdokseiland,WK036304,Nieuwmarkt/Lastage,PV27,Noord-Holland       ,POINT (4.90541865504259 52.37775355302933),1,0,0,0,14940,6408,1005,1,{kantoorfunctie}
0363100012181958,0363010000618801,0363200000414310,De Ruijterkade,1011AB,107,,5,308,1,Flat/appartement,7,0,,GM0363,Amsterdam,BU03630400,Oosterdokseiland,WK036304,Nieuwmarkt/Lastage,PV27,Noord-Holland       ,POINT (4.90541865504259 52.37775355302933),1,0,0,0,14940,6408,1005,1,{woonfunctie}
